tripduration,date,start,stop,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
252,4/1/2017,12:14 AM,12:18 AM,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,26238,Subscriber,NULL,N/A
452,4/1/2017,12:15 AM,12:23 AM,3203,Hamilton Park,40.72759597,-74.04424731,3213,Van Vorst Park,40.71848892,-74.04772663,26186,Subscriber,1962,Male
465,4/1/2017,12:46 AM,12:54 AM,3271,Danforth Light Rail,40.69263997,-74.08801228,3216,Columbia Park,40.6970299,-74.0969366,24659,Subscriber,1996,Male
417,4/1/2017,12:47 AM,12:54 AM,3271,Danforth Light Rail,40.69263997,-74.08801228,3216,Columbia Park,40.6970299,-74.0969366,24471,Subscriber,1994,Male
391,4/1/2017,1:13 AM,1:19 AM,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,24624,Subscriber,1983,Male
443,4/1/2017,1:13 AM,1:21 AM,3216,Columbia Park,40.6970299,-74.0969366,3271,Danforth Light Rail,40.69263997,-74.08801228,26159,Subscriber,1994,Male
391,4/1/2017,1:14 AM,1:21 AM,3216,Columbia Park,40.6970299,-74.0969366,3271,Danforth Light Rail,40.69263997,-74.08801228,24659,Subscriber,1996,Male
233,4/1/2017,1:21 AM,1:24 AM,3220,5 Corners Library,40.73496102,-74.05950308,3207,Oakland Ave,40.7376037,-74.0524783,26241,Subscriber,1981,Male
134,4/1/2017,1:56 AM,1:58 AM,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,26302,Subscriber,1992,Male
704,4/1/2017,1:59 AM,2:11 AM,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,26256,Subscriber,1991,Male
181,4/1/2017,3:29 AM,3:32 AM,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,29219,Subscriber,1986,Male
137,4/1/2017,3:31 AM,3:33 AM,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,29249,Subscriber,1992,Male
141,4/1/2017,5:46 AM,5:48 AM,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,29207,Subscriber,1983,Male
185,4/1/2017,5:46 AM,5:49 AM,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,24406,Subscriber,1984,Male
144,4/1/2017,6:26 AM,6:28 AM,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,26186,Subscriber,1987,Female
347,4/1/2017,6:48 AM,6:53 AM,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,26211,Subscriber,1993,Male
1023,4/1/2017,6:59 AM,7:16 AM,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3188,NJCU,40.7101087,-74.0858489,29267,Subscriber,1981,Male
414,4/1/2017,7:10 AM,7:17 AM,3195,Sip Ave,40.73074263,-74.06378388,3280,Astor Place,40.7192822,-74.07126188,29210,Subscriber,1964,Male
484,4/1/2017,7:39 AM,7:47 AM,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,26228,Subscriber,1986,Female
207,4/1/2017,7:50 AM,7:53 AM,3270,Jersey & 6th St,40.72528911,-74.04557168,3187,Warren St,40.7211236,-74.03805095,24615,Subscriber,1989,Male
381,4/1/2017,7:51 AM,7:57 AM,3279,Dixon Mills,40.72163014,-74.04996783,3276,Marin Light Rail,40.71458404,-74.04281706,29126,Subscriber,1985,Female
502,4/1/2017,8:02 AM,8:10 AM,3268,Lafayette Park,40.71346383,-74.06285852,3186,Grove St PATH,40.71958612,-74.04311746,29212,Subscriber,1977,Male
417,4/1/2017,8:02 AM,8:09 AM,3187,Warren St,40.7211236,-74.03805095,3205,JC Medical Center,40.71653978,-74.04963791,26276,Subscriber,1963,Male
579,4/1/2017,8:07 AM,8:17 AM,3187,Warren St,40.7211236,-74.03805095,3192,Liberty Light Rail,40.7112423,-74.0557013,26304,Subscriber,1979,Male
153,4/1/2017,8:11 AM,8:13 AM,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,24513,Subscriber,1984,Male
2462,4/1/2017,8:12 AM,8:53 AM,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,26276,Subscriber,1963,Male
175,4/1/2017,8:15 AM,8:17 AM,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,28673,Subscriber,1960,Male
678,4/1/2017,8:32 AM,8:43 AM,3267,Morris Canal,40.71241882,-74.03852552,3203,Hamilton Park,40.72759597,-74.04424731,29229,Subscriber,1987,Female
141,4/1/2017,8:35 AM,8:38 AM,3215,Central Ave,40.7467299,-74.0492509,3210,Pershing Field,40.74267714,-74.05178863,29295,Subscriber,1992,Male
508,4/1/2017,8:44 AM,8:52 AM,3210,Pershing Field,40.74267714,-74.05178863,3195,Sip Ave,40.73074263,-74.06378388,29295,Subscriber,1992,Male
308,4/1/2017,8:45 AM,8:50 AM,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26211,Subscriber,1960,Female
897,4/1/2017,8:48 AM,9:03 AM,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,26172,Subscriber,1986,Female
217,4/1/2017,8:48 AM,8:52 AM,3187,Warren St,40.7211236,-74.03805095,3199,Newport Pkwy,40.7287448,-74.0321082,26160,Subscriber,1980,Male
698,4/1/2017,8:52 AM,9:03 AM,3267,Morris Canal,40.71241882,-74.03852552,3186,Grove St PATH,40.71958612,-74.04311746,26211,Subscriber,NULL,N/A
176,4/1/2017,8:52 AM,8:55 AM,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,26253,Subscriber,NULL,N/A
314,4/1/2017,8:53 AM,8:58 AM,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24460,Subscriber,1992,Male
451,4/1/2017,8:54 AM,9:01 AM,3278,Monmouth and 6th,40.72568548,-74.04879034,3185,City Hall,40.7177325,-74.043845,24681,Subscriber,1968,Female
715,4/1/2017,8:55 AM,9:07 AM,3205,JC Medical Center,40.71653978,-74.04963791,3183,Exchange Place,40.7162469,-74.0334588,26276,Subscriber,1963,Male
223,4/1/2017,8:57 AM,9:01 AM,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,29235,Subscriber,1996,Male
2245,4/1/2017,9:11 AM,9:49 AM,3195,Sip Ave,40.73074263,-74.06378388,3195,Sip Ave,40.73074263,-74.06378388,24470,Subscriber,1971,Male
433,4/1/2017,9:14 AM,9:21 AM,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,26256,Subscriber,1956,Male
551,4/1/2017,9:14 AM,9:24 AM,3195,Sip Ave,40.73074263,-74.06378388,3280,Astor Place,40.7192822,-74.07126188,29254,Subscriber,1983,Male
222,4/1/2017,9:19 AM,9:23 AM,3270,Jersey & 6th St,40.72528911,-74.04557168,3185,City Hall,40.7177325,-74.043845,26152,Subscriber,1984,Male
240,4/1/2017,9:19 AM,9:23 AM,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,26217,Subscriber,1987,Female
495,4/1/2017,9:31 AM,9:39 AM,3214,Essex Light Rail,40.7127742,-74.0364857,3202,Newport PATH,40.7272235,-74.0337589,24501,Subscriber,1990,Male
174,4/1/2017,9:37 AM,9:39 AM,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24520,Subscriber,1988,Male
197,4/1/2017,9:37 AM,9:40 AM,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,29279,Subscriber,1994,Male
